Datasets	1103_V2_D1	1103_V6_D29	2103_V2_D1	2103_V6_D29	2202_V2_D1	2202_V5_D22	3204_V2_D1	3204_V6_D29	3216_V2_D1	3216_V6_D29	3218_V2_D1
Cell envelope-associated LytR-CpsA-Psr transcriptional attenuators	1518.4647	1115.1404	873.5746	884.6946	953	1103.6279	443.74698	595.6824	1106.1937	967.614	865.5194
Selenocysteine metabolism	1502.9702	950.1153	717.70856	680.78973	1037	712.3624	916.1819	860.9177	937.7065	1169.5952	547.4808
Cluster containing Glutathione synthetase	1482.7599	1536.0034	1810.1299	1837.8003	1453	1725.2289	1361.1497	1385.1182	1680.4617	1629.7041	1712.8652
Bacterial cell division related cluster 2	1469.9601	1349.4957	1367.9054	1289.1833	1142	1235.5751	1273.2548	1270.371	1371.7155	1438.6605	1407.6996
Biosynthesis of Arabinogalactan in Mycobacteria	1463.897	1405.155	1788.8342	1684.3735	1283	1627.6033	1777.4294	1469.1407	1882.47	1860.8523	1535.6722
dTDP-rhamnose synthesis	1452.4445	1146.3878	1608.954	1344.3107	1122	1305.7435	743.44403	843.3608	1409.6472	1314.7009	1288.0564
Tripartite multidrug efflux systems (of RND type) in Pseudomonas	1451.0972	459.92218	343.4489	536.66156	56	370.67252	142.82915	401.92883	80.274025	14.583482	548.99524
ATP-dependent RNA helicases. bacterial	1437.6237	1610.216	1871.2982	1522.3124	1042	1886.9215	941.8179	1214.565	1490.8033	969.0724	1933.9778
Biotin synthesis cluster	1432.908	890.55	617.5737	675.47626	411	630.7535	943.03864	723.5973	426.95197	358.02448	636.8345
SecY2-SecA2 Specialized Transport System	1409.3292	537.06415	40.778896	59.112476	12	6.864306	1543.6536	1249.0519	265.52176	45.93797	129.48715
Repair of Iron Centers	1373.6245	1145.4114	1039.8618	557.9155	217	816.8524	918.013	779.4033	958.8776	336.14926	683.7831
CtsR and MscAB regulation of protein degradation	1364.8667	1223.5298	1074.7505	1187.563	1085	896.936	1252.5018	1250.9329	1271.1525	1575.016	797.3683
Heme. hemin uptake and utilization systems in GramPositives	1346.0038	1395.3903	1279.098	1155.6821	1195	1178.3726	1451.486	1533.0983	1390.2402	1235.221	1452.3763
Urea cycle	1300.1938	1436.4025	1676.0126	2050.3396	1917	1243.2021	2812.0251	2095.5479	1711.3363	1441.5771	1316.8314
rRNA modification related cluster including tlyA	1263.1417	1007.7276	1556.3945	1813.8896	2407	1288.2014	1308.6569	1269.7439	1596.6592	2409.9204	1756.7848
Lipoylated proteins	1243.6051	1304.5776	1114.6232	1231.3993	626	1301.1674	498.0709	632.67737	542.5113	998.2393	1943.0646
Arsenic resistance	1235.521	867.11444	1094.6868	1199.5183	675	640.6686	775.79425	614.49335	799.21173	869.90466	527.79266
Proteasome bacterial	1201.1636	472.61642	432.70938	595.77405	137	317.28348	258.19116	268.99762	291.1036	401.77493	215.81192
Diaminopimelate Synthesis 	1200.4899	935.4681	1508.8191	1228.7426	1016	1578.7904	1102.348	1004.50854	858.3146	576.04755	826.1432
Pyruvate formate-lyase cluster with possible role in choline utilization	1199.8162	1143.4584	539.64075	789.7161	692	505.67056	1221.3723	1250.3059	677.4775	508.23434	448.28302
Ribosome activity modulation	1180.2795	1047.7633	1148.1525	1286.5266	957	975.49414	1026.6609	958.73505	1330.2552	1340.2219	1113.1353
Copper homeostasis: copper tolerance	1168.1534	1177.6351	964.6474	1097.2339	973	1221.0837	1054.1279	906.0642	896.2463	644.5899	1019.9953
Nucleoside uptake and degradation cluster	1154.6799	945.23285	1069.3132	1530.2826	1823	1155.4916	830.11816	1148.0994	1243.8063	1904.6028	1370.5951
Glutathione: Non-redox reactions	1150.6378	1076.0812	671.03937	834.21655	878	893.1225	946.0906	775.6411	916.5353	963.96814	824.6287
DAP (1.3-diaminopropane) production	1142.5537	1093.6578	1186.6659	1071.3306	790	1142.5256	1194.5156	1017.6763	1014.45197	670.84015	1082.8458
Arginine biosynthesis via N-acetyl-L-citrulline	1112.2384	1323.1307	1393.2789	1253.9816	926	964.05365	1321.4749	1235.8842	1107.958	1235.221	1172.1995
Peptidyl-prolyl cis-trans isomerase	1110.891	1450.0731	1556.3945	1318.4075	1139	1414.047	605.4979	738.01904	2340.2966	1935.228	1676.518
Heme Biosynthesis: protoporphyrin-. coproporphyrin- and siroheme-dependent pathways	1095.3965	863.20856	814.6717	761.1562	781	862.61444	962.57086	1228.9867	903.3033	803.54987	760.2638
Cold shock proteins of CSP family	1091.3544	986.24506	1116.4355	1087.2711	850	990.74817	767.2489	865.934	1033.8589	866.2588	957.14484
TCA Cycle	1067.7758	1279.1891	1155.8551	1651.8285	656	1299.642	337.54068	383.74484	709.23425	1443.7646	1926.4054
Coenzyme A -- gjo	1030.0499	1019.4454	1087.4373	1017.5316	777	956.42664	485.86328	580.0065	867.13586	877.9256	1159.3265
Dihydroxyacetone kinases	1014.5554	419.8865	174.89615	352.01813	376	523.21265	786.7811	959.98914	417.2485	465.94223	365.74442
Resistance to Vancomycin and Teicoplanin	1009.166	776.3018	826.9054	780.41754	867	799.3103	1402.0452	1402.0481	1164.4144	1204.5956	625.47595
Sporulation Cluster	1008.4923	898.3618	968.2722	590.4606	714	849.64856	516.9927	645.218	883.8964	554.9015	878.3924
Coat proteins CotJABC	990.3031	1077.0577	822.8275	1020.18835	939	874.055	1342.2278	1275.3872	1154.7109	929.69696	701.95667
GDP-fucose to mannose-1P module	962.6824	2005.6904	1712.7136	1754.1129	884	1648.9589	169.68591	374.96637	2217.6802	1233.0334	2186.8943
Ribosomal hibernation related cluster	955.272	950.1153	656.0871	687.43164	85	668.8885	115.36201	115.37427	433.1269	148.75151	932.15607
Nickel-requiring	926.9776	1019.4454	961.02264	1477.1477	1562	1048.7134	2316.396	1905.5565	1408.765	1458.3481	863.2477
Succinate dehydrogenase and Fumarate reductase cpmlexes	915.5251	964.76245	779.33	755.8427	189	540.75476	422.38364	422.62094	692.47375	361.67035	920.04034
Threonylcarbamoyladenosine	891.9465	872.9733	1216.1173	1183.5779	1330	1337.777	1827.4807	1543.1307	1426.4077	1472.2025	1378.9247
Conjugative transposon. Bacteroidales	872.40985	6401.8047	3439.9263	3187.4246	216	6933.712	133.06306	282.79236	3996.0586	1585.9536	8117.557
Choline uptake and conversion to betaine clusters	864.32574	1009.68054	414.58545	467.58633	527	897.69867	764.197	679.0779	560.15393	588.4435	771.6223
Acetolactate synthase subunits	845.4628	792.902	926.5871	860.78394	753	828.2929	1626.0549	1355.0206	989.75226	707.2989	829.1721
Hydroxy-fatty acid production as stress response	845.4628	822.19635	1273.6609	1095.9055	1083	1160.0677	765.4178	719.20807	1101.7831	1028.8646	988.94867
Fructoselysine and glucoselysine	839.3998	579.0528	72.94891	95.64266	146	132.70992	45.778576	49.53569	212.59384	207.81462	25.745985
Polymyxin resistance. lipid A modifications with 4-amino-4-deoxy-L-arabinose	837.3787	240.21414	1.3592966	0.6641851	16	12.203211	26.246384	5.6433063	2.6463964	0.7291741	0
Cyclic Di-GMP Turnover Proteins	831.3157	596.62946	154.5067	57.119923	101	85.42248	490.7463	331.70102	198.47974	18.229353	110.55628
L-fucose dissimilation cluster	817.8421	1131.7406	736.7387	1055.3901	943	734.4808	1173.7627	1081.6338	592.7928	693.4446	729.97437
Glycolysis and Gluconeogenesis. including Archaeal enzymes	815.8211	625.9238	274.5779	281.6145	39	587.27954	27.467144	51.41679	164.95871	532.29706	870.82007
Menaquinone biosynthesis from chorismate via 1.4-dihydroxy-6-naphthoate	803.02124	218.73157	12.233668	29.88833	1	2.2881021	1.220762	1.2540681	8.8213215	5.1042185	15.144696
Adenylylsulfate reductase	801.6739	780.2077	852.732	814.95514	647	710.83704	1444.7719	1220.2083	757.7515	429.48355	624.71875
Twin-arginine translocation system	787.52673	755.7957	667.4146	503.45233	490	716.93866	298.47632	311.00888	320.21396	307.71146	842.0451
Threonine synthase cluster	786.853	579.0528	814.2186	724.626	388	632.2789	795.3264	606.3419	823.0293	680.3194	803.42615
Citrate lyase	737.00104	766.537	386.04022	464.2654	135	360.75742	634.79626	616.37445	494.87613	420.73346	421.02255
Nucleoside triphosphate pyrophosphohydrolase MazG	732.28534	626.9003	668.77386	559.2439	548	540.75476	383.31927	512.2868	563.68243	725.5282	770.86505
Glycolate. glyoxylate interconversions	716.7908	620.06494	861.794	571.8634	576	1104.3906	501.1228	356.78238	779.8048	584.0684	777.6802
NAD and NADP cofactor biosynthesis bacterial	658.8547	507.7697	641.1349	798.3505	291	504.14514	898.48083	751.18677	317.56757	428.75436	567.1689
GMP synthase	651.4443	597.6059	663.7898	746.54407	915	693.2949	671.41907	544.8926	1198.8176	1110.5321	581.55634
Spore germinant receptors	622.4762	563.4291	502.0335	706.0288	696	526.2635	1945.8947	1336.2096	613.08185	442.60867	442.22513
2-ketoacid oxidoreductases disambiguation	615.0658	515.58154	296.77975	314.82376	60	307.36838	158.69907	241.40811	553.979	720.424	531.57886
Lipoic acid metabolism	607.65533	503.8638	530.57874	725.95435	427	556.7715	274.06107	310.38187	329.91742	721.8823	798.1255
Type VI secretion system	594.1818	352.50937	13.139866	13.283703	79	32.03343	120.85544	52.67086	3.5285285	5.1042185	27.260454
Carbon storage regulator	584.0767	413.05115	303.12314	107.59799	41	202.11568	421.77325	332.95508	442.83032	202.7104	199.90999
Spore germination	557.80334	678.65375	694.6005	514.0793	331	533.8905	346.08603	504.76242	635.13513	790.42474	567.1689
Muconate lactonizing enzyme family	547.02454	545.8525	548.7027	555.2588	246	514.06024	139.16687	162.40182	321.97824	117.397026	538.394
Type 4 secretion and conjugative transfer	528.1616	290.01462	1.3592966	0.6641851	65	16.779415	153.20563	69.60078	0	4.3750443	6.8151135
Osmoregulation	524.11957	481.40475	514.7203	750.5292	711	466.77283	440.69507	494.72986	523.1044	740.1117	701.19946
Programmed frameshift	520.0775	546.8289	542.3593	369.9511	199	453.80692	190.43887	305.9926	501.05106	433.85858	511.89075
Cytochrome d ubiquinol oxidase operon	516.70917	469.68698	315.35678	349.3614	31	433.97668	86.06372	82.76849	280.518	153.85573	573.22675
Universal stress protein family	501.8883	264.62616	106.478226	150.77002	239	79.32087	120.85544	114.74723	85.56682	197.60619	97.6833
Lpt lipopolysaccharide transport system	476.28864	901.29126	964.6474	988.3075	88	914.4781	147.7122	193.75352	450.76953	195.41866	1197.9456
P2-like phage	449.3416	261.69672	32.170017	15.940443	26	14.491313	245.98354	28.843567	0.8821321	5.8333926	6.0578785
L-fucose utilization	447.3206	717.71295	184.41122	241.0992	255	697.1084	174.56897	549.9089	351.97073	332.5034	820.8425
Indole-pyruvate oxidoreductase complex	443.27853	654.24176	764.8309	658.20746	281	537.704	452.29233	671.55347	539.86487	885.21735	938.9712
Bacitracin resistance	440.58383	375.9449	46.216084	29.88833	180	207.45459	411.3968	362.4257	87.331085	213.64801	110.55628
Ethanolamine utilization	434.52075	322.23846	125.05528	112.911476	78	114.4051	192.8804	203.15903	217.0045	321.56577	143.87462
Anaerobic dimethyl sulfoxide reductase (EC 1.8.5.3)	427.784	216.77861	88.80737	146.78491	424	504.90784	459.0065	616.37445	181.71922	311.35733	724.6737
Proline. 4-hydroxyproline uptake and utilization	425.0893	453.08682	272.3124	280.28613	190	247.87772	322.89154	357.4094	478.99774	460.10886	318.03864
Cobalamin synthesis	407.5737	350.5564	482.55026	204.56902	320	398.89246	240.49011	332.95508	401.37012	521.3595	334.69778
Phosphonate metabolism	404.20532	322.23846	231.53351	256.37546	74	141.09962	136.11496	220.71599	118.2057	167.71004	540.66565
Pyruvate formate-lyase cluster	403.53165	505.81677	403.25797	608.39355	616	324.1478	808.7548	749.93274	393.43094	389.37897	292.29263
Calvin-Benson cycle	403.53165	249.97894	19.93635	9.298592	42	45.76204	108.64782	61.449337	46.753002	16.04183	18.93087
Wall polysaccharide pyruvylation	402.1843	230.44934	304.93552	251.72617	154	263.89444	68.36267	75.24409	232.88289	96.980156	179.46466
Cadmium resistance	398.14224	674.74786	715.44305	1055.3901	538	549.90717	511.49927	489.7136	790.3904	675.9444	473.27176
Iron transport system including ABC transporter	381.30035	115.22467	308.5603	435.04126	657	210.50539	220.95792	131.05011	298.16068	656.25665	305.92288
Outer membrane	375.91095	617.1355	464.8794	518.7286	43	537.704	106.20629	149.2341	217.88664	69.27154	645.16406
ESAT-6 proteins secretion system in Firmicutes and Actinobacteria	373.21625	186.50772	89.260475	110.25473	188	69.40576	333.26804	233.8837	97.03454	160.4183	82.5386
Histidine Degradation	372.54257	731.3837	632.0729	660.2	281	544.5683	216.07487	253.32176	150.84459	169.89757	882.9358
Na-driven 2-hydroxyglutarate pathway	369.84787	222.6375	9.061976	17.268814	7	24.406422	108.03744	107.84985	11.467718	11.666785	19.688105
Formaldehyde assimilation: Ribulose monophosphate pathway	363.1111	363.25064	189.84842	413.12317	106	207.45459	745.88556	610.1041	350.20645	507.50516	249.8875
Peptide methionine sulfoxide reductase	359.74274	415.0041	661.0712	480.87003	561	851.93665	485.86328	580.0065	365.2027	349.27438	703.4711
Macrolides. lincosamides. streptogramins. ketolides. oxazolidinones (MLSKO) resistance: efflux systems	358.3954	171.86052	22.201843	33.873444	6	0.7627007	10.376477	77.75222	33.521023	24.062744	0.7572348
Tricarboxylate transport system	350.31128	364.22714	188.03603	163.38954	92	295.92786	346.08603	401.3018	162.31232	52.500534	497.5033
Cob(I)alamin adenosyltransferase	348.29025	521.4404	368.82245	508.7658	318	463.72202	633.5755	704.15924	273.46097	248.64836	551.26697
A new toxin - antitoxin system	338.18512	238.26118	158.1315	43.83622	32	237.1999	258.80154	198.76979	128.79129	14.583482	172.64954
Tripartite multidrug efflux systems (of RND type) AcrAB-TolC and related transporters	336.1641	223.61397	0.45309883	1.3283702	41	25.169123	86.6741	30.097633	0	0	0.7572348
Tagatose utilization	319.3222	200.17845	335.74625	523.37787	2068	324.1478	14.038763	18.183987	370.49548	1378.139	488.41647
Tetracycline resistance. ribosomal protection type	317.97485	524.3699	680.1014	858.7914	196	331.77478	716.5873	805.7388	465.76578	530.10956	592.15765
Aspartate to Homoserine module	313.25912	280.24982	166.74037	191.28532	105	88.47328	170.90668	142.33673	151.72673	223.85645	108.284584
General Secretion Pathway	292.37518	152.33092	0.90619767	0.6641851	29	11.44051	33.570953	26.33543	0	2.1875222	0
Siderophore assembly kit	292.37518	167.9546	2.265494	3.3209257	39	17.542116	25.636002	45.14645	1.7642642	3.6458704	0.7572348
Menaquinone biosynthesis from chorismate via 1.4-dihydroxy-2-naphthoate	291.7015	793.8784	542.81244	628.31915	102	794.73413	115.36201	245.79735	650.1314	375.52466	1244.1368
Arginine decarboxylase and Agmatinase cluster	280.24902	287.0852	91.07287	134.82959	194	183.04816	45.168194	126.66088	86.44895	83.12585	146.90355
IbrA and IbrB: co-activators of prophage gene expression	269.4702	465.78107	452.19263	620.34894	352	770.3277	178.84163	324.1766	67.92417	68.542366	442.98236
Respiratory Complex I	266.10184	914.962	684.6323	670.1628	58	820.66595	67.14191	186.22911	563.68243	178.64766	973.804
Periplasmic disulfide interchange	262.05978	435.5102	253.28226	245.7485	75	324.1478	120.85544	230.12149	133.20195	137.8139	397.54828
Protection from Reactive Oxygen Species	248.58629	260.7202	216.58124	213.86761	109	285.25006	198.37383	316.02515	145.5518	235.52322	449.04025
Gram-negative cluster	244.54424	148.425	3.171692	1.9925554	38	9.152409	47.60972	41.384247	1.7642642	0.7291741	2.2717044
Denitrifying reductase gene clusters	239.8285	249.97894	242.86098	380.5781	335	155.59094	438.86392	342.9876	278.75375	179.37683	190.82318
Two partner secretion pathway (TPS)	232.41808	165.02516	1.3592966	0	6	6.864306	9.155715	50.162724	0	2.9166963	3.786174
Urease subunits	232.41808	318.33255	299.49832	439.02637	554	391.26544	775.79425	567.4658	480.76202	462.2964	223.38428
Branched-chain amino acids and alpha-keto acids utilization as energy sources	225.68132	1092.6814	1028.0813	949.7847	50	854.22473	125.73849	152.9963	123.4985	178.64766	1184.3153
Glycine reductase. sarcosine reductase and betaine reductase	222.98662	164.04868	96.96315	125.53099	168	138.04883	200.20497	178.07767	189.65842	228.23149	88.59647
Siderophore Enterobactin	220.29192	117.17763	0.45309883	1.3283702	26	7.627007	72.63534	26.33543	0.8821321	4.3750443	1.5144696
Fet iron export system	218.94456	227.5199	267.3283	373.93622	222	260.08093	90.94677	65.83858	111.14865	242.81497	321.8248
Colicin V and Bacteriocin Production Cluster	215.57619	838.7965	248.75127	237.11409	40	710.07434	51.882385	79.00629	50.281532	54.688057	633.04834
A Hypothetical Protein Related to Proline Metabolism	211.53413	88.8597	202.53519	292.24146	466	109.0662	131.23192	115.37427	232.00075	574.5892	226.41321
Ubiquinone biosynthesis	207.49208	99.60098	1.8123953	1.9925554	30	9.152409	76.908005	25.081362	0.8821321	2.1875222	0
Colanic acid synthesis	204.79736	121.08355	1.3592966	1.3283702	23	5.338905	49.44086	29.4706	0	2.1875222	4.543409
L-ascorbate utilization (and related gene clusters)	190.65018	96.67155	8.608878	12.619517	30	17.542116	95.21944	58.314167	67.92417	41.562923	13.630227
Streptococcal Hyaluronic Acid Capsule	187.95547	163.0722	180.33334	73.06036	98	136.52342	97.66096	119.13647	153.491	43.02127	124.94375
Aromatic amino acid interconversions with aryl acids	187.95547	366.18008	232.4397	314.82376	138	271.52145	427.2667	398.16663	255.81831	405.4208	410.42126
Sex pheromones in Enterococcus faecalis and other Firmicutes	187.2818	237.2847	53.012566	89.00081	183	330.2494	184.94543	237.6459	323.7425	145.83482	59.064316
Glutathione: Redox cycle	181.21872	242.1671	135.02345	155.41933	88	89.99868	75.68724	73.36298	290.22147	111.56364	116.61417
Possible RNA modification and stress response cluster	177.17667	1007.7276	867.2312	975.688	25	809.2254	44.55781	183.72098	658.07056	188.12692	1253.9808
Lipopolysaccharide in K12	176.50299	124.98947	1.3592966	0	10	3.0508027	58.596577	21.946192	0	1.4583482	5.300644
Carnitine operon	172.46094	94.71858	9.061976	20.589739	36	44.23664	76.29762	50.162724	31.756758	68.542366	32.561096
Purine catabolism in Bacillus subtilis	171.11359	129.87187	7.2495813	15.940443	43	28.982626	100.71287	110.357994	10.585586	17.500177	21.95981
ESAT-6 proteins secretion system in Mycobacteria (locus ESX-1)	169.09256	104.48338	1.8123953	1.9925554	2	0.7627007	274.67145	154.87741	2.6463964	0	49.977497
Enoyl-[ACP] reductases disambiguation	168.41888	31.247368	184.86433	235.12154	499	132.70992	177.01048	122.27164	185.24774	587.7143	248.37302
SpoVS protein family	167.74521	50.776974	82.46399	48.485516	30	8.389708	6.714191	58.9412	89.97748	200.52287	27.260454
Beta-lactamases Ambler class B	158.31375	51.753452	28.092129	85.679886	15	7.627007	0.610381	5.6433063	28.228228	5.1042185	49.977497
Taurine and alkanesulfonate utilization as sulfur sources	156.9664	83.000824	3.171692	6.6418514	25	8.389708	49.44086	21.946192	0.8821321	2.1875222	1.5144696
Enterobacterial common antigen (LPS O-antigen)	152.92435	126.94243	45.76298	35.865997	40	85.42248	83.01182	47.027554	92.62387	66.35484	53.00644
Maintenance of outer membrane lipid asymmetry	148.8823	330.05032	233.3459	219.84528	33	260.08093	43.947433	49.53569	189.65842	61.25062	387.70422
Lipoprotein transporter to outer membrane Lol	148.8823	493.12253	401.4456	478.2133	37	419.48538	38.454002	31.978737	187.01201	67.81319	620.93256
Tripartite multidrug efflux systems (of MFS type) EmrKY-TolC and EmrAB-TolC	148.20862	83.000824	2.265494	0	16	9.152409	62.869244	16.302885	1.7642642	0.7291741	3.786174
Molybdopterin cytosine dinucleotide	142.81921	117.17763	118.2588	193.27788	175	86.947876	21.363335	40.757214	154.37312	161.14748	54.52091
Glutathione: Biosynthesis and gamma-glutamyl cycle	140.79819	127.918915	18.123953	15.276258	72	41.948536	26.246384	21.319157	62.631382	56.87558	53.00644
Efflux ABC transporter YadGH	138.77716	72.25954	1.8123953	0	20	3.8135035	39.064384	21.319157	0	0.7291741	0
Putative TldE-TldD proteolytic complex	136.08246	148.425	183.95813	272.31592	43	107.540794	42.72667	87.78477	194.9512	326.66998	158.26208
beta-Barrel Assembly Machinery	135.40878	109.36578	27.639029	3.3209257	22	16.779415	37.233242	16.92992	0.8821321	1.4583482	8.329583
Mu-like phage	134.06143	122.06003	1.3592966	1.3283702	29	11.44051	22.584097	6.2703404	0	0.7291741	0
Inner membrane proteins of MarC family. not involved in antibiotic resistance	126.65101	431.60428	269.14072	343.38373	37	358.46933	31.73981	40.13018	52.045795	21.14605	502.0467
DNA repair. bacterial UmuCD system	121.93528	166.00165	134.11726	90.32918	194	159.40443	100.71287	70.85485	205.53679	99.89685	140.08844
Bacterial Sphingolipids	121.93528	346.65048	278.6558	307.51773	14	297.45328	25.636002	25.708395	308.74625	110.834465	358.1721
D-threonate. L-threonate and D-erythronate utilization	119.91425	58.588814	4.9840875	7.3060365	23	17.542116	21.363335	15.675851	7.9391894	13.854308	11.358522
BtuS-PduT gene cluster for metalloporphyrine salvage	119.91425	870.0439	569.99835	585.8113	29	597.19464	18.92181	40.13018	555.7432	350.00357	858.7043
Sulphoglycolysis	119.91425	83.9773	0.90619767	3.3209257	14	6.1016054	56.765434	21.319157	0.8821321	2.1875222	0.7572348
Butyrate kinase pathway	117.89323	100.57746	222.01843	146.12073	54	22.88102	6.10381	22.573225	212.59384	213.64801	127.97269
Polymyxin resistance	115.198524	42.96513	1.8123953	0.6641851	3	2.2881021	6.10381	3.7622042	0	2.9166963	0
Inositol-containing phospholipids	114.52485	137.68372	303.57623	448.32498	3	159.40443	5.493429	7.5244083	332.5638	343.441	337.72675
Forespore to mother cell channel	113.85117	111.31875	348.433	114.239845	74	299.74136	37.233242	128.54198	389.9024	112.29281	233.22833
Formate dehydrogenase	112.50382	78.118416	45.309883	36.53018	128	41.185837	56.765434	42.01128	67.92417	281.4612	67.3939
Sporulation gene orphans	110.482796	82.02434	82.91709	79.03803	93	70.168465	79.95991	114.12019	243.46848	365.31622	72.69454
Tol-Pal Cell Envelope Complex	108.46177	88.8597	8.608878	3.3209257	25	11.44051	53.103146	31.351702	0.8821321	2.1875222	21.202576
Cytochrome bo ubiquinol oxidase 	108.46177	46.87105	0	0	19	6.1016054	28.077526	9.405511	0	0	0
Salmochelin-mediated Iron Acquisition	108.46177	49.80049	0.90619767	0.6641851	0	0.7627007	0.610381	4.3892384	0	0.7291741	0
Bacteroides capsular polysaccharide transcription antitermination proteins	106.44074	741.1485	465.33252	541.3109	25	952.61316	23.80486	33.232803	82.03829	67.81319	868.54834
Trimethylamine-N-oxide operon	106.44074	61.518253	1.3592966	0	20	3.0508027	34.791718	12.540681	0	2.1875222	0
Type III secretion systems	104.419716	62.494736	1.3592966	0	16	7.627007	64.090004	11.913647	0.8821321	2.9166963	9.844052
Oligopeptide degradation cluster	103.74604	64.44769	12.233668	11.955333	23	19.830217	59.817337	30.724669	8.8213215	18.229353	16.659166
Acetoin. butanediol metabolism	102.39868	135.73076	39.419598	55.79155	65	83.89707	87.284485	157.38554	91.741745	101.3552	42.40515
Glyoxylate bypass	101.725006	53.706413	0.45309883	0	7	3.8135035	23.194477	13.794749	0.8821321	2.1875222	0
Post-translational modification of proteins	101.725006	48.824013	5.890285	5.313481	24	4.5762043	33.570953	13.167715	4.4106607	8.750089	9.844052
Possible new toxin-antitoxin system including DivIC	100.377655	22.459045	120.97739	168.70302	253	62.541454	78.12877	55.178997	139.37688	224.58562	125.70098
Adaptation to d-cysteine	100.377655	106.43635	95.15076	112.911476	108	116.69321	40.285145	25.708395	78.50976	86.77171	77.23795
Tolerance to colicin E2 and CreBC signal transduction system	97.00928	92.765625	23.56114	16.604628	18	51.863647	40.285145	16.302885	6.174925	4.3750443	53.00644
Fatty acid degradation	96.3356	460.89868	158.5846	152.09839	67	330.2494	20.142572	33.232803	73.216965	107.18859	322.58203
Aerotolerance operon	96.3356	539.0171	566.37354	549.2811	19	556.0088	21.363335	22.573225	436.6554	131.98051	745.8763
Glutamate dehydrogenases	95.66193	386.6862	394.19598	478.87747	67	374.48602	104.37515	122.27164	149.08034	204.89792	467.97113
Possible DNA repair related cluster	94.314575	40.03569	0.90619767	1.9925554	9	3.0508027	39.064384	11.913647	2.6463964	0.7291741	0.7572348
Hexose phosphate transport system	94.314575	71.28306	0.45309883	0	15	7.627007	28.687906	10.659578	0	1.4583482	0.7572348
BarA-UvrY(SirA) two-component regulatory system	92.967224	53.706413	6.7964826	8.634407	18	12.965912	27.467144	13.794749	35.285286	6.5625668	7.572348
Photorespiration (oxidative C2 cycle)	92.29355	83.9773	24.014238	35.201813	44	33.55883	23.80486	14.421783	74.0991	103.542725	24.231514
L-galactonate utilization	91.61987	56.635853	0	0	14	7.627007	28.687906	10.032545	0	1.4583482	0
Siderophore Aerobactin	90.27252	53.706413	0.45309883	0	13	4.5762043	25.025621	14.421783	0.8821321	2.9166963	0.7572348
Peptide ABC transport system Sap	89.59885	56.635853	1.3592966	0.6641851	13	3.0508027	23.194477	8.151443	0	0	0
Na-translocating NADH-quinone oxidoreductase	88.92517	421.83948	450.38025	408.47385	20	414.90918	8.545334	15.675851	353.735	101.3552	644.40686
p-Aminobenzoyl-Glutamate Utilization	88.92517	49.80049	6.343384	3.9851108	19	5.338905	36.012478	23.827293	5.292793	11.666785	3.786174
Glutathione-dependent pathway of formaldehyde detoxification	88.92517	48.824013	0	0	14	1.5254014	21.973717	11.913647	1.7642642	2.1875222	0
ZraPRS-based zinc resistance	88.92517	63.471214	11.78057	13.283703	15	26.694523	31.73981	16.92992	7.9391894	14.583482	17.4164
Tripartite multidrug efflux systems (of MFS type) in Gram-negative bacteria	87.57782	381.80377	348.8861	409.13803	22	352.3677	5.493429	23.20026	508.10812	94.06346	404.3634
Putrescine utilization	84.88312	44.91809	0.90619767	2.6567404	19	12.965912	60.42772	20.692123	3.5285285	2.1875222	2.2717044
Encapsulation of DyP-type peroxidase or ferritin-like protein oligomers	84.88312	57.612335	67.05863	104.27707	86	125.08291	47.60972	102.83358	70.57057	59.063103	96.926056
Iron acquisition in Streptococcus	84.20944	111.31875	82.01089	64.42596	65	300.50406	228.89287	448.32935	105.85586	53.95888	262.00327
Efflux ABC transporter MdlAB	82.86209	63.471214	20.842546	15.276258	38	11.44051	36.012478	23.827293	47.635136	8.020915	8.329583
Glutaconate CoA-transferase or 3-oxoadipate CoA-transferase Subunits	82.188416	52.729935	16.764658	30.552517	9	19.067516	18.31143	14.421783	3.5285285	2.1875222	34.07557
Polymyxin resistance. lipid A modifications with phosphoethanolamine	82.188416	66.40066	19.93635	8.634407	10	8.389708	34.791718	6.8973746	2.6463964	4.3750443	23.47428
Thiamin. hydroxymethylpyrimidine selected transporters	81.51474	18.553125	96.05695	147.4491	166	58.72795	81.18067	53.924927	70.57057	115.93868	102.2267
MukBEF Chromosome Condensation	79.49371	31.247368	0	0	13	0.7627007	16.480288	3.7622042	0	1.4583482	0
Phage shock protein operon	79.49371	47.84753	0	0	11	9.152409	26.246384	6.8973746	0.8821321	5.1042185	0
Acyl-CoA thioesterase II	78.14636	32.223846	59.35595	69.07526	177	56.43985	72.024956	40.13018	79.39189	182.29352	82.5386
Listeria Pathogenicity Island LIPI-1 extended	78.14636	51.753452	139.55444	155.41933	194	87.71058	3.662286	13.794749	51.163666	188.8561	123.429276
Arginine succinyltransferase pathway	75.45166	53.706413	1.8123953	0.6641851	20	24.406422	23.80486	13.167715	0.8821321	3.6458704	10.601288
Ribosomal protein S5p acylation	74.777985	74.2125	205.70688	124.866806	177	78.55817	358.90402	247.0514	128.79129	113.75116	152.2042
Dioxygenolytic carbon monoxide-forming enzymes	73.43063	37.10625	0	0	10	3.0508027	21.363335	7.5244083	0	0.7291741	0
Multidrug resistance RND efflux system MexEFOprN	70.73593	382.78024	125.96148	133.5012	28	292.11435	17.70105	32.60577	74.0991	29.166964	417.2364
