Pathway	1103_V2_D1	1103_V6_D29	2103_V2_D1	2103_V6_D29	2202_V2_D1	2202_V5_D22	3204_V2_D1	3204_V6_D29	3216_V2_D1	3216_V6_D29	3218_V2_D1	3218_V6_D29
PWY-5079: L-phenylalanine degradation III	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5080: very long chain fatty acid biosynthesis I	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5083: NAD/NADH phosphorylation and dephosphorylation	8.71E-06	1.38E-05	0	0	3.23E-06	2.22E-06	7.04E-06	5.54E-06	8.84E-07	0	0	0
PWY-5088: L-glutamate degradation VIII (to propanoate)	0	0	0	0	0	0	0	0	0	0	0	7.84E-08
PWY-5097: L-lysine biosynthesis VI	0.000705641	0.00065848	0.000600569	0.000671056	0.000515816	0.000527553	0.000859189	0.000836184	0.000612054	0.000550524	0.000474288	0.000637432
PWY-5100: pyruvate fermentation to acetate and lactate II	0.000169151	0.000202316	0.000303964	0.000201008	0.00012517	0.000260389	0.000153813	0.000123394	0.000304303	0.000562597	0.000185131	0.000229245
PWY-5101: L-isoleucine biosynthesis II	8.73E-06	1.61E-05	2.78E-05	3.58E-05	4.87E-05	3.04E-05	1.18E-06	4.96E-07	3.84E-05	0.000168934	8.13E-06	2.99E-05
PWY-5103: L-isoleucine biosynthesis III	0.000414888	0.000386997	0.000663466	0.000522855	0.000416595	0.000437479	0.000355002	0.000364083	0.00048025	0.000524599	0.000505608	0.000530782
PWY-5104: L-isoleucine biosynthesis IV	2.23E-05	8.28E-05	0.000124557	0.000153778	7.53E-05	8.27E-05	0.000161931	7.94E-05	0.000216128	0.000487759	0.000182653	0.000252785
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	2.19E-05	3.04E-05	2.33E-05	1.40E-05	7.84E-06	1.39E-05	1.46E-05	3.51E-05	5.81E-05	0.000154206	1.45E-06	5.75E-06
PWY-5129: sphingolipid biosynthesis (plants)	0	0	0	0	0	0	0	1.97E-07	0	0	0	0
PWY-5136: fatty acid &beta;-oxidation II (peroxisome)	2.83E-05	2.54E-05	5.17E-06	5.15E-06	1.14E-05	1.52E-05	7.40E-06	5.86E-06	2.87E-05	9.01E-05	2.00E-06	8.84E-06
PWY-5138: unsaturated. even numbered fatty acid &beta;-oxidation	1.79E-06	8.88E-07	0	0	0	0	1.69E-06	4.88E-07	0	0	0	9.22E-08
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	0.000136497	0.00012572	4.69E-05	3.94E-05	5.73E-05	7.98E-05	6.55E-06	3.46E-06	8.16E-05	8.06E-05	3.32E-05	2.74E-05
PWY-5173: superpathway of acetyl-CoA biosynthesis	3.92E-06	3.33E-06	0	0	1.33E-06	8.73E-07	9.43E-07	1.22E-06	1.48E-06	0	0	3.74E-07
PWY-5177: glutaryl-CoA degradation	0.000163054	0.000131891	0.000249835	8.47E-05	4.49E-05	0.000152044	5.04E-05	1.14E-05	0.000111309	9.14E-05	0.000155336	0.000154902
PWY-5180: toluene degradation I (aerobic) (via o-cresol)	0	0	0	0	0	0	0	0	4.49E-07	0	0	0
PWY-5182: toluene degradation II (aerobic) (via 4-methylcatechol)	0	0	0	0	0	0	0	0	4.49E-07	0	0	0
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	0.000277665	0.000299808	0.000221557	0.0002759	0.00030731	0.000212004	0.000429228	0.000488758	0.000250445	0.000333079	0.000213271	0.000340847
PWY-5189: tetrapyrrole biosynthesis II (from glycine)	3.24E-05	4.57E-05	5.41E-05	9.03E-05	6.58E-05	2.61E-05	6.27E-06	2.91E-06	4.27E-05	0.000115743	1.38E-05	2.44E-05
PWY-5198: factor 420 biosynthesis	0	0	0	0	0	0	0	0	5.61E-06	9.24E-05	0	0
PWY-5265: peptidoglycan biosynthesis II (staphylococci)	0	0	0	0	0	0	0	0	8.53E-07	0	0	0
PWY-5304: superpathway of sulfur oxidation (Acidianus ambivalens)	0	0	0	0	0	0	0	7.75E-05	0	0	0	0
PWY-5306: superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	1.94E-05	3.19E-05	0	3.50E-07	8.83E-06	9.25E-06	1.34E-05	2.07E-05	5.40E-06	0	1.78E-05	2.45E-05
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	0.000306088	0.000260181	0.000266118	0.000245122	0.000127113	0.00014501	0.000132986	0.000130119	0.000303384	0.00030918	0.000222609	0.000268923
PWY-5367: petroselinate biosynthesis	0.000449337	0.000305477	0.000197656	0.00031994	0.000173059	0.000226709	0.000495528	0.00032044	0.00011011	4.47E-05	0.000188185	0.000193673
PWY-5381: pyridine nucleotide cycling (plants)	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	1.08E-05	3.06E-05	0	4.66E-07	4.90E-06	9.36E-06	1.28E-05	6.32E-06	3.12E-05	1.03E-07	1.11E-05	2.18E-05
PWY-5415: catechol degradation I (meta-cleavage pathway)	0	0	0	0	0	0	0	0	1.35E-07	0	0	0
PWY-5417: catechol degradation III (ortho-cleavage pathway)	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5431: aromatic compounds degradation via &beta;-ketoadipate	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5464: superpathway of cytosolic glycolysis (plants). pyruvate dehydrogenase and TCA cycle	1.71E-05	1.55E-05	0	0	4.70E-06	3.84E-06	3.67E-06	5.74E-06	6.64E-06	0	0	1.81E-06
PWY-5484: glycolysis II (from fructose 6-phosphate)	3.41E-05	7.14E-05	2.34E-05	3.07E-05	4.31E-05	5.02E-05	2.80E-05	2.44E-05	2.21E-05	0.000185488	1.29E-05	1.82E-05
PWY-5505: L-glutamate and L-glutamine biosynthesis	3.60E-06	9.22E-06	0	0	1.63E-06	2.73E-06	3.03E-06	1.42E-06	0	9.75E-07	8.77E-06	1.52E-07
PWY-5514: UDP-N-acetyl-D-galactosamine biosynthesis II	0	0	0	0	0	0	0	0	0	0	0	0
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation	2.65E-05	1.84E-05	0	0	5.08E-06	6.45E-06	8.53E-06	7.89E-06	0	0	0	6.18E-07
PWY-5651: L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	0	0	0	0	0	0	0	1.15E-07	0	0	0	0
PWY-5656: mannosylglycerate biosynthesis I	9.40E-08	1.14E-07	0	0	8.28E-08	1.71E-07	5.71E-07	0	2.36E-07	0	0	0
PWY-5659: GDP-mannose biosynthesis	0.000129336	0.000201028	5.76E-05	0.000122986	9.68E-05	0.000138886	8.51E-05	0.000117987	0.000174776	8.94E-05	8.29E-05	0.000137258
PWY-5667: CDP-diacylglycerol biosynthesis I	0.000688812	0.0006275	0.000529472	0.000649387	0.000628092	0.000606503	0.000841402	0.000766366	0.000627358	0.000452459	0.000420411	0.000631876
PWY-5675: nitrate reduction V (assimilatory)	2.76E-06	0	0	0	8.42E-07	0	0	0	0	0	0	0
PWY-5676: acetyl-CoA fermentation to butanoate II	5.76E-05	3.11E-05	0	9.58E-06	1.20E-05	0	1.89E-06	8.77E-06	1.47E-05	2.54E-05	0	1.01E-05
PWY-5686: UMP biosynthesis	0.000779587	0.000733035	0.000848001	0.000811194	0.000782836	0.000701519	0.000837932	0.000788175	0.000795794	0.00071016	0.000610889	0.000784401
PWY-5690: TCA cycle II (plants and fungi)	0.000109029	5.54E-05	5.70E-05	1.20E-05	8.57E-06	1.64E-05	1.29E-05	4.31E-05	5.03E-05	5.71E-05	5.89E-06	1.54E-05
PWY-5692: allantoin degradation to glyoxylate II	5.53E-06	5.35E-06	0	0	1.23E-06	1.30E-06	1.56E-06	2.69E-06	2.01E-07	0	0	0
PWY-5695: urate biosynthesis/inosine 5-phosphate degradation	0.00028283	0.000332604	0.000273686	0.00020743	0.000278593	0.000260374	0.00022233	0.000255462	0.000202129	0.000218859	0.000166772	0.000291083
PWY-5705: allantoin degradation to glyoxylate III	5.53E-06	5.35E-06	0	0	1.23E-06	1.30E-06	2.17E-06	2.69E-06	2.01E-07	0	0	2.59E-07
PWY-5723: Rubisco shunt	1.94E-05	2.65E-05	0	0	2.75E-06	5.15E-06	1.24E-05	6.50E-06	0	0	0	0
PWY-5747: 2-methylcitrate cycle II	1.66E-07	9.06E-07	0	0	0	0	4.38E-07	4.07E-07	0	0	0	0
PWY-5791: 1.4-dihydroxy-2-naphthoate biosynthesis II (plants)	9.82E-06	2.05E-05	9.92E-07	0	3.03E-06	1.10E-05	3.21E-06	4.18E-06	1.06E-05	0	6.95E-07	1.73E-07
PWY-5837: 1.4-dihydroxy-2-naphthoate biosynthesis I	9.82E-06	2.05E-05	9.92E-07	0	3.03E-06	1.10E-05	3.21E-06	4.18E-06	1.06E-05	0	6.95E-07	1.73E-07
PWY-5838: superpathway of menaquinol-8 biosynthesis I	1.55E-05	2.90E-05	0	0	5.06E-06	1.48E-05	7.20E-06	8.34E-06	3.36E-06	0	0	0
PWY-5840: superpathway of menaquinol-7 biosynthesis	1.75E-05	4.21E-05	3.23E-06	0	5.06E-06	1.48E-05	6.29E-06	1.83E-06	2.58E-05	0	2.27E-06	5.87E-07
PWY-5845: superpathway of menaquinol-9 biosynthesis	1.55E-05	2.90E-05	0	0	5.06E-06	1.48E-05	6.29E-06	1.83E-06	3.36E-06	0	0	0
PWY-5850: superpathway of menaquinol-6 biosynthesis I	1.55E-05	2.90E-05	0	0	5.06E-06	1.48E-05	6.29E-06	1.83E-06	3.36E-06	0	0	0
PWY-5855: ubiquinol-7 biosynthesis (prokaryotic)	5.40E-06	7.47E-06	0	0	1.54E-06	2.16E-06	4.31E-06	2.40E-06	0	0	0	0
PWY-5856: ubiquinol-9 biosynthesis (prokaryotic)	5.40E-06	7.47E-06	0	0	1.54E-06	2.16E-06	4.31E-06	2.40E-06	0	0	0	0
PWY-5857: ubiquinol-10 biosynthesis (prokaryotic)	5.40E-06	7.47E-06	0	0	1.54E-06	2.16E-06	4.31E-06	2.40E-06	0	0	0	0
PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I	1.64E-05	2.24E-05	0	0	4.70E-06	1.07E-05	5.00E-06	1.23E-06	2.27E-06	0	0	0
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis	1.64E-05	2.24E-05	0	0	4.70E-06	1.07E-05	5.88E-06	5.84E-06	2.27E-06	0	0	0
PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis	1.64E-05	2.24E-05	0	0	4.70E-06	1.07E-05	5.00E-06	1.23E-06	2.27E-06	0	0	0
PWY-5863: superpathway of phylloquinol biosynthesis	8.80E-06	1.49E-05	1.12E-06	0	2.71E-06	1.13E-05	3.36E-06	4.56E-06	1.11E-05	0	7.81E-07	1.97E-07
PWY-5870: ubiquinol-8 biosynthesis (eukaryotic)	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5871: ubiquinol-9 biosynthesis (eukaryotic)	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5872: ubiquinol-10 biosynthesis (eukaryotic)	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5873: ubiquinol-7 biosynthesis (eukaryotic)	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5896: superpathway of menaquinol-10 biosynthesis	1.55E-05	2.90E-05	0	0	5.06E-06	1.48E-05	6.29E-06	1.83E-06	3.36E-06	0	0	0
PWY-5897: superpathway of menaquinol-11 biosynthesis	1.65E-05	4.16E-05	2.91E-06	0	5.96E-06	2.66E-05	7.50E-06	1.12E-05	2.68E-05	0	2.01E-06	5.14E-07
PWY-5898: superpathway of menaquinol-12 biosynthesis	1.65E-05	4.16E-05	2.91E-06	0	5.96E-06	2.66E-05	7.50E-06	1.12E-05	2.68E-05	0	2.01E-06	5.14E-07
PWY-5899: superpathway of menaquinol-13 biosynthesis	1.65E-05	4.16E-05	2.91E-06	0	5.96E-06	2.66E-05	7.50E-06	1.12E-05	2.68E-05	0	2.01E-06	5.14E-07
PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	8.09E-07	4.61E-06	0	0	1.15E-06	4.90E-07	1.07E-06	2.66E-06	7.24E-06	0	0	0
PWY-5913: TCA cycle VI (obligate autotrophs)	5.76E-06	6.69E-06	0	0	1.62E-05	1.84E-06	5.89E-06	2.61E-05	5.61E-06	1.10E-05	3.34E-06	1.06E-05
PWY-5918: superpathay of heme biosynthesis from glutamate	1.31E-05	3.65E-05	0	8.32E-06	3.89E-06	2.26E-05	7.57E-06	4.69E-06	4.84E-06	0	9.91E-06	6.88E-06
PWY-5920: superpathway of heme biosynthesis from glycine	0	1.54E-05	0	0	1.36E-06	6.21E-06	0	2.35E-07	0	0	0	0
PWY-5941: glycogen degradation II (eukaryotic)	7.34E-05	6.84E-05	5.64E-05	3.96E-05	0.000160964	0.000140875	0	9.64E-07	5.05E-05	2.67E-05	5.37E-05	4.02E-05
PWY-5971: palmitate biosynthesis II (bacteria and plants)	1.49E-05	2.53E-05	3.03E-06	0	8.04E-06	2.68E-06	3.12E-06	7.60E-06	6.04E-06	0	0	1.37E-07
PWY-5973: cis-vaccenate biosynthesis	0.000470784	0.000329438	0.00022439	0.000347562	0.00019781	0.000255156	0.000525666	0.00035374	0.000255519	5.36E-05	0.000208433	0.000217278
PWY-5989: stearate biosynthesis II (bacteria and plants)	2.50E-05	0.000163546	4.57E-05	8.07E-05	3.10E-05	9.99E-05	1.85E-05	9.43E-05	0.0001044	1.97E-05	5.19E-05	9.94E-05
PWY-5994: palmitate biosynthesis I (animals and fungi)	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6074: zymosterol biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6075: ergosterol biosynthesis I	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6113: superpathway of mycolate biosynthesis	1.69E-05	2.66E-05	3.20E-06	0	8.56E-06	2.81E-06	3.34E-06	8.01E-06	6.32E-06	0	0	1.44E-07
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	0.000591645	0.000619151	0.000655237	0.000695853	0.000718013	0.000605764	0.000607723	0.00063942	0.000650871	0.000603011	0.000549209	0.000697496
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	0.000578446	0.000608448	0.00066722	0.000695284	0.000755787	0.000597635	0.000581775	0.000622002	0.000694497	0.000685012	0.00057964	0.000714747
PWY-6123: inosine-5-phosphate biosynthesis I	0.000229347	0.000205435	0.000285394	0.000222415	0.000284589	0.000337263	0.000173273	0.000128062	0.000238255	0.000216077	0.00023955	0.00027292
PWY-6124: inosine-5-phosphate biosynthesis II	0.000178235	0.000181157	0.000262164	0.00017323	0.000255708	0.000309353	0.000150453	0.000110052	0.000211542	0.000192534	0.00021492	0.000245139
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	0.00011136	0.000118398	4.28E-05	4.51E-05	4.44E-05	9.18E-05	3.81E-05	0.000129134	9.22E-05	0.000133845	6.85E-05	9.17E-05
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	0.000148343	0.000182311	0.000203064	0.000197636	0.000110342	0.000142507	5.52E-05	0.000172877	0.000212339	0.000175021	0.000201449	0.000174198
PWY-6138: CMP-N-acetylneuraminate biosynthesis I (eukaryotes)	0	0	0	0	7.94E-07	2.41E-06	0	0	0	0	0	0
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	8.16E-05	5.45E-05	7.26E-05	4.18E-05	0.000196592	8.41E-05	6.93E-06	2.33E-06	9.16E-05	0.000251837	0.000214293	4.80E-05
PWY-6151: S-adenosyl-L-methionine cycle I	0.000821943	0.000761442	0.000825424	0.000845388	0.000939343	0.000686872	0.000972327	0.000903986	0.000757163	0.000623197	0.00057408	0.000706624
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	0.000824254	0.000788769	0.00067255	0.000811569	0.000793651	0.000718261	0.000902374	0.000863694	0.00075084	0.000633454	0.000571598	0.000745827
PWY-6165: chorismate biosynthesis II (archaea)	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6167: flavin biosynthesis II (archaea)	0	0	0	0	0	0	0	0	1.61E-05	0.000135504	0	0
PWY-6168: flavin biosynthesis III (fungi)	4.47E-05	0.000193992	5.14E-05	0.00011439	3.62E-05	0.000171223	0.000116284	5.07E-05	0.000115675	0.000172924	4.98E-05	0.000103716
PWY-6174: mevalonate pathway II (archaea)	0	0	0	0	0	0	0	0	4.12E-06	0	0	0
PWY-6185: 4-methylcatechol degradation (ortho cleavage)	0	0	0	0	0	0	0	0	0	0	0	0
PWY-621: sucrose degradation III (sucrose invertase)	0.000483658	0.000413071	0.000583083	0.000471825	0.000288407	0.00035992	0.000257999	0.000159934	0.000387357	0.000216276	0.000339827	0.000377041
PWY-622: starch biosynthesis	1.16E-06	0	0	0	0	0	0	0	0	0	0	0
PWY-6263: superpathway of menaquinol-8 biosynthesis II	9.58E-06	1.14E-05	0	0	0	1.54E-06	0	0	0	0	0	0
PWY-6270: isoprene biosynthesis I	9.76E-05	0.000172576	4.08E-05	2.36E-05	7.66E-05	2.23E-05	3.03E-05	8.00E-05	0.00015489	0.000308155	2.15E-06	8.89E-06
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	0.000578446	0.000608448	0.00066722	0.000695284	0.000755787	0.000597635	0.000581775	0.000622002	0.000694497	0.000685012	0.00057964	0.000714747
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	1.53E-05	2.40E-05	2.88E-06	0	7.78E-06	2.53E-06	3.02E-06	7.23E-06	5.67E-06	0	0	1.29E-07
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)	1.70E-05	2.74E-05	3.20E-06	0	8.63E-06	2.81E-06	3.79E-06	8.03E-06	6.29E-06	0	0	1.44E-07
PWY-6285: superpathway of fatty acids biosynthesis (E. coli)	1.61E-05	2.76E-05	0	0	0	0	3.59E-06	0	5.52E-06	0	0	0
PWY-6305: putrescine biosynthesis IV	0.000163216	0.000135441	0.000129038	0.000113503	6.90E-05	9.23E-05	5.67E-05	8.53E-05	0.000105858	0.000141488	9.71E-05	9.93E-05
PWY-6307: L-tryptophan degradation X (mammalian. via tryptamine)	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6309: L-tryptophan degradation XI (mammalian. via kynurenine)	0	0	0	1.87E-07	0	0	0	3.00E-07	0	0	2.74E-06	2.30E-06
PWY-6313: serotonin degradation	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6317: galactose degradation I (Leloir pathway)	0.000557463	0.000508054	0.000465175	0.000526525	0.000521369	0.000472644	0.000641581	0.000573741	0.000494604	0.000369306	0.000322637	0.000479215
PWY-6318: L-phenylalanine degradation IV (mammalian. via side chain)	0	0	0	0	0	0	0	0	0	0	2.77E-06	0
PWY-6351: D-myo-inositol (1.4.5)-trisphosphate biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6353: purine nucleotides degradation II (aerobic)	0.000182145	0.000155123	2.97E-05	7.36E-05	0.000100061	0.000104629	2.62E-05	1.14E-05	0.000112708	0.000122288	3.37E-05	4.74E-05
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	0.000328779	0.000410262	0.000473665	0.000277817	0.000191968	0.0004308	0.000224035	0.000416451	0.000385273	0.000341451	0.000313853	0.000335662
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	0.000787858	0.000729899	0.000736701	0.000833455	0.000824012	0.000701577	0.000920489	0.000862106	0.000758761	0.000642025	0.000608252	0.000745119
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	0.000762753	0.000707845	0.000728045	0.000811311	0.000799301	0.000685839	0.000878947	0.000825891	0.000740691	0.000633147	0.000582491	0.000732226
PWY-6396: superpathway of 2.3-butanediol biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6415: L-ascorbate biosynthesis V	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6433: hydroxylated fatty acid biosynthesis (plants)	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6435: 4-hydroxybenzoate biosynthesis V	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6467: Kdo transfer to lipid IVA III (Chlamydia)	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)	2.19E-06	6.05E-05	0	0	1.44E-05	1.26E-05	5.64E-06	3.58E-05	1.13E-05	0	0	0
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	7.50E-05	9.86E-05	0.000369181	0.00010306	4.68E-05	0.00016834	6.95E-05	2.77E-05	0.000105104	3.65E-05	0.000170809	0.000166427
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	1.19E-05	1.96E-05	2.28E-06	0	4.99E-06	2.06E-06	2.52E-06	4.68E-06	4.09E-06	0	0	1.05E-07
PWY-6527: stachyose degradation	0.000450547	0.000455106	0.000324552	0.000485212	0.000446778	0.000374997	0.000164256	0.000236294	0.000325847	0.000276892	0.000256421	0.000379731
PWY-6531: mannitol cycle	6.82E-07	1.53E-05	0	1.29E-06	8.41E-07	2.08E-05	8.05E-07	6.83E-07	8.85E-07	0	0	0
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	9.76E-05	9.77E-05	2.97E-05	3.06E-05	3.06E-05	6.77E-05	3.40E-05	0.000103744	6.68E-05	9.70E-05	4.91E-05	6.53E-05
PWY-6549: L-glutamine biosynthesis III	6.69E-06	2.45E-06	0	0	1.77E-05	2.62E-06	8.01E-06	2.58E-05	8.15E-06	1.59E-05	6.98E-06	1.54E-05
PWY-6588: pyruvate fermentation to acetone	1.52E-05	2.93E-05	1.37E-05	5.03E-05	2.09E-05	4.57E-05	4.07E-05	1.21E-05	5.69E-05	0.000108882	1.10E-05	1.96E-05
PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation	1.46E-05	3.72E-06	0	3.74E-06	3.26E-06	0	0	0	5.27E-06	6.05E-06	0	3.80E-06
PWY-6595: superpathway of guanosine nucleotides degradation (plants)	3.09E-05	6.19E-05	2.18E-05	8.08E-05	6.99E-05	2.49E-05	0	0	4.79E-05	2.00E-05	1.08E-05	2.43E-05
PWY-6596: adenosine nucleotides degradation I	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6598: sciadonate biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6606: guanosine nucleotides degradation II	0.000115227	8.49E-05	2.46E-05	8.41E-05	7.45E-05	3.96E-05	7.75E-06	4.46E-06	5.83E-05	6.83E-05	1.48E-05	2.74E-05
PWY-6608: guanosine nucleotides degradation III	0.000166869	0.000170511	7.54E-05	0.000129095	0.000125987	0.000121315	2.17E-05	1.19E-05	0.000144309	0.000154158	6.09E-05	8.63E-05
PWY-6609: adenine and adenosine salvage III	0.000423182	0.00036151	0.000354811	0.000272773	0.000388027	0.000347906	0.000330858	0.000276782	0.000383195	0.000316007	0.00025908	0.000334209
PWY-6612: superpathway of tetrahydrofolate biosynthesis	3.64E-05	4.72E-05	2.94E-05	5.46E-05	1.36E-05	5.24E-05	4.35E-06	2.62E-06	3.64E-05	1.35E-05	3.58E-05	3.98E-05
PWY-6628: superpathway of L-phenylalanine biosynthesis	5.75E-05	5.39E-05	1.09E-05	1.48E-06	1.68E-05	1.83E-05	2.68E-05	3.40E-05	3.28E-05	0	0	3.47E-06
PWY-6629: superpathway of L-tryptophan biosynthesis	1.40E-05	2.12E-05	0	0	1.27E-06	1.86E-06	3.38E-05	8.93E-06	0	0	0	4.18E-06
PWY-6630: superpathway of L-tyrosine biosynthesis	5.70E-05	5.51E-05	0	0	1.65E-05	1.99E-05	2.66E-05	2.36E-05	0	7.53E-06	2.80E-06	3.47E-06
PWY-6660: 2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6662: superpathway of quinolone and alkylquinolone biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate	0	0	0	0	0	0	2.33E-06	0	0	0	0	0
PWY-6700: queuosine biosynthesis	0.000347374	0.000376153	0.000308953	0.000329446	0.000302094	0.000265776	0.000187382	0.00019465	0.000374821	0.000263023	0.000117423	0.00024686
PWY-6703: preQ0 biosynthesis	0.000180614	0.000234391	0.000116436	0.00020992	0.000228708	0.000189131	0.000139565	0.000159625	0.000190582	0.000266605	9.80E-05	0.000155383
PWY-6708: ubiquinol-8 biosynthesis (prokaryotic)	5.40E-06	7.47E-06	0	0	1.54E-06	2.16E-06	4.31E-06	2.40E-06	0	0	0	0
PWY-6731: starch degradation III	6.90E-06	8.97E-06	0	0	0	0	2.83E-07	2.50E-07	2.76E-07	0	0	0
PWY-6737: starch degradation V	0.000825575	0.000845542	0.000813912	0.000880305	0.000803606	0.000840056	0.00103335	0.000926323	0.000871714	0.000710085	0.000639293	0.000891148
PWY-6785: hydrogen production VIII	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6803: phosphatidylcholine acyl editing	1.02E-05	9.94E-06	0	0	2.88E-06	3.19E-06	5.78E-06	3.91E-06	0	0	0	1.71E-07
PWY-6823: molybdenum cofactor biosynthesis	1.50E-06	1.75E-06	0	0	2.69E-07	4.33E-07	3.21E-06	9.14E-07	0	0	0	0
PWY-6829: tRNA methylation (yeast)	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6837: fatty acid beta-oxidation V (unsaturated. odd number. di-isomerase-dependent)	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6859: all-trans-farnesol biosynthesis	4.99E-06	8.76E-06	0	0	1.46E-06	8.44E-07	2.22E-06	4.45E-06	6.88E-06	6.76E-05	0	0
PWY-6891: thiazole biosynthesis II (Bacillus)	1.41E-05	1.37E-05	0	0	1.50E-06	4.74E-06	9.96E-06	8.30E-06	0	0	0	1.22E-07
PWY-6892: thiazole biosynthesis I (E. coli)	1.89E-05	2.41E-05	0	0	4.27E-06	5.91E-06	1.45E-05	1.03E-05	3.85E-06	3.81E-06	0	2.56E-06
PWY-6895: superpathway of thiamin diphosphate biosynthesis II	1.88E-05	4.90E-05	0	0	4.61E-06	2.10E-05	2.19E-05	2.09E-05	0	0	0	6.07E-07
PWY-6897: thiamin salvage II	1.93E-05	0.000130089	0.000107448	7.25E-05	8.95E-06	0.000136561	2.92E-05	3.14E-05	0.000166451	0.00015787	4.38E-05	0.000100737
PWY-6901: superpathway of glucose and xylose degradation	4.86E-05	8.22E-05	7.44E-06	5.59E-06	1.76E-05	4.36E-05	2.38E-05	1.61E-05	2.17E-05	5.22E-05	2.05E-05	2.74E-05
PWY-6936: seleno-amino acid biosynthesis	9.59E-05	0.000115603	6.90E-05	0.000144892	0.000220842	0.000121369	0.000106162	6.93E-05	0.000237029	0.000240864	5.86E-05	7.99E-05
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	0.00012557	7.80E-05	5.88E-05	1.85E-05	9.86E-06	2.40E-05	1.79E-05	3.63E-05	6.66E-05	6.91E-05	9.30E-06	2.22E-05
PWY-6981: chitin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7003: glycerol degradation to butanol	2.76E-05	5.28E-05	5.12E-06	4.15E-06	3.20E-05	4.53E-05	3.01E-05	2.02E-05	1.60E-05	4.52E-05	1.33E-05	1.97E-05
