Taxonomy	1103_V2_D1	1103_V6_D29	2103_V2_D1	2103_V6_D29	2202_V2_D1	2202_V5_D22	3204_V2_D1	3204_V6_D29	3216_V2_D1	3216_V6_D29	3218_V2_D1	taxonomy
Firmicutes bacterium CAG_194_44_15	0	0	0	0	0	0	0	0	0	0.524740172	0	Firmicutes bacterium CAG_194_44_15
Eggerthella sp. CAG:368	0	0	0	0	0	0	0	0	0	0.448486218	0	Eggerthella sp. CAG:368
Firmicutes bacterium CAG:95	0	0	0	0	0	0	0	0	0	0.446791685	0	Firmicutes bacterium CAG:95
Oscillibacter sp. CAG:241_62_21	0	0	0	0	0	0	0	0	0	0.37449164	0	Oscillibacter sp. CAG:241_62_21
Clostridium sp. CAG:138	0	0	0	0	0	0	0	0	0	0.336647085	0	Clostridium sp. CAG:138
Blautia sp. OF03-15BH	0	0	0	0	0	0	0	0	0	0.290894713	0	Blautia sp. OF03-15BH
Clostridiales bacterium 41_12_two_minus	0	0	0	0	0	0	0	0	0	0.282986896	0	Clostridiales bacterium 41_12_two_minus
Campylobacter coli	0	0	0	0	0	0	0	0	0	0	0	Campylobacter coli
Actinomyces oris	0	0	0	0	0	0	0	0	0	0	0	Actinomyces oris
Actinomyces naeslundii	0	0	0	0	0	0	0	0	0	0	0	Actinomyces naeslundii
Faecalibaculum rodentium	0	0	0	0	0	0	0	0	0	0	0	Faecalibaculum rodentium
Lachnospiraceae bacterium oral taxon 500	0	0	0	0	0	0	0	0	0	0	0	Lachnospiraceae bacterium oral taxon 500
Flavobacteriales bacterium	0	0	0	0	0	0	0	0	0	0	1.128820605	Flavobacteriales bacterium
Ruminococcus sp. CAG:330	0	0	0	0	0	0	0	0	0	0	0.882654381	Ruminococcus sp. CAG:330
Eubacterium sp. CAG:274	0	0	0	0	0	0	0	0	0	0	0.37355964	Eubacterium sp. CAG:274
Firmicutes bacterium CAG:129	0	0	0	0	0	0	0	0	0	0	0.318962462	Firmicutes bacterium CAG:129
Ligilactobacillus ruminis	0	0	0	0	0	0	0	0	0	0	0	Ligilactobacillus ruminis
